Slug,Title,Subtitle,DeadlineDate
isic-2024-challenge,ISIC 2024 - Skin Cancer Detection with 3D-TBP,Identify cancers among skin lesions cropped from 3D total body photographs,2024-09-06 23:59:00
llm-20-questions,LLM 20 Questions,Guess the secret word in this cooperative game of question asking and answering,2024-08-29 23:59:00
lmsys-chatbot-arena,LMSYS - Chatbot Arena Human Preference Predictions,Predicting Human Preferences in the Wild,2024-08-12 21:30:00
uspto-explainable-ai,USPTO - Explainable AI for Patent Professionals,Help patent professionals understand AI results through a familiar query language,2024-07-24 23:59:00
leap-atmospheric-physics-ai-climsim,LEAP - Atmospheric Physics using AI (ClimSim),"Simulate higher resolution atmospheric processes within E3SM-MMF, a climate model supported by the U.S. Department of Energy",2024-07-15 23:59:00
leash-BELKA,NeurIPS 2024 - Predict New Medicines with BELKA,Predict small molecule-protein interactions using the Big Encoded Library for Chemical Assessment (BELKA),2024-07-08 23:59:00
learning-agency-lab-automated-essay-scoring-2,Learning Agency Lab - Automated Essay Scoring 2.0,Improve upon essay scoring algorithms to improve student learning outcomes,2024-07-02 23:59:00
ai-mathematical-olympiad-prize,AI Mathematical Olympiad - Progress Prize 1,Solve national-level math challenges using artificial intelligence models,2024-06-27 23:59:00
birdclef-2024,BirdCLEF 2024,"Bird species identification from audio, focused on under-studied species in the Western Ghats, a major biodiversity hotspot in India.",2024-06-10 23:59:00
image-matching-challenge-2024,Image Matching Challenge 2024 - Hexathlon,Reconstruct 3D scenes from 2D images over six different domains,2024-06-03 23:59:00
home-credit-credit-risk-model-stability,Home Credit - Credit Risk Model Stability,Create a model measured against feature stability over time,2024-05-27 23:59:00
predict-energy-behavior-of-prosumers,Enefit - Predict Energy Behavior of Prosumers,Predict Prosumer Energy Patterns and Minimize Imbalance Costs.,2024-04-30 23:59:00
pii-detection-removal-from-educational-data,The Learning Agency Lab - PII Data Detection,Develop automated techniques to detect and remove PII from educational data.,2024-04-23 23:59:00
llm-prompt-recovery,LLM Prompt Recovery,Recover the prompt used to transform a given text,2024-04-16 23:59:00
march-machine-learning-mania-2024,March Machine Learning Mania 2024,Forecast the 2024 College Basketball Tournaments,2024-04-09 23:59:00
hms-harmful-brain-activity-classification,HMS - Harmful Brain Activity Classification,Classify seizures and other patterns of harmful brain activity in critically ill patients,2024-04-08 23:59:00
optiver-trading-at-the-close,Optiver - Trading at the Close,Predict US stocks closing movements,2024-03-22 17:20:00
blood-vessel-segmentation,SenNet + HOA - Hacking the Human Vasculature in 3D,Segment vasculature in 3D scans of human kidney,2024-02-06 23:59:00
santa-2023,Santa 2023 - The Polytope Permutation Puzzle,Solve twisty puzzles in the fewest moves,2024-01-31 23:59:00
llm-detect-ai-generated-text,LLM - Detect AI Generated Text,Identify which essay was written by a large language model,2024-01-22 23:59:00
linking-writing-processes-to-writing-quality,Linking Writing Processes to Writing Quality,Use typing behavior to predict essay quality,2024-01-09 23:59:00
UBC-OCEAN,UBC Ovarian Cancer Subtype Classification and Outlier Detection (UBC-OCEAN),Navigating Ovarian Cancer: Unveiling Common Histotypes and Unearthing Rare Variants,2024-01-03 23:59:00
cafa-5-protein-function-prediction,CAFA 5 Protein Function Prediction,Predict the biological function of a protein,2023-12-20 15:39:00
stanford-ribonanza-rna-folding,Stanford Ribonanza RNA Folding,Create a model that predicts the structures of any RNA molecule,2023-12-07 23:59:00
child-mind-institute-detect-sleep-states,Child Mind Institute - Detect Sleep States,Detect sleep onset and wake from wrist-worn accelerometer data,2023-12-05 23:59:00
open-problems-single-cell-perturbations,Open Problems – Single-Cell Perturbations,Predict how small molecules change gene expression in different cell types,2023-11-30 23:59:00
predict-ai-model-runtime,Google - Fast or Slow? Predict AI Model Runtime,Predict how fast an AI model runs,2023-11-17 23:59:00
ai-village-capture-the-flag-defcon31,AI Village Capture the Flag @ DEFCON31,"Collect flags by evading, poisoning, stealing, and fooling AI/ML",2023-11-09 23:59:00
bengaliai-speech,Bengali.AI Speech Recognition,Recognize Bengali speech from out-of-distribution audio recordings,2023-10-17 23:59:00
rsna-2023-abdominal-trauma-detection,RSNA 2023 Abdominal Trauma Detection,Detect and classify traumatic abdominal injuries,2023-10-15 23:59:00
commonlit-evaluate-student-summaries,CommonLit - Evaluate Student Summaries,Automatically assess summaries written by students in grades 3-12,2023-10-11 23:59:00
kaggle-llm-science-exam,Kaggle - LLM Science Exam,Use LLMs to answer difficult science questions,2023-10-10 23:59:00
asl-fingerspelling,Google - American Sign Language Fingerspelling Recognition,Train fast and accurate American Sign Language fingerspelling recognition models,2023-08-24 23:59:00
icr-identify-age-related-conditions,ICR - Identifying Age-Related Conditions,Use Machine Learning to detect conditions with measurements of anonymous characteristics,2023-08-10 23:59:00
google-research-identify-contrails-reduce-global-warming,Google Research - Identify Contrails to Reduce Global Warming,Train ML models to identify contrails in satellite images and help prevent their formation,2023-08-09 23:59:00
hubmap-hacking-the-human-vasculature,HuBMAP - Hacking the Human Vasculature,Segment instances of microvascular structures from healthy human kidney tissue slides.,2023-07-31 23:59:00
predict-student-performance-from-game-play,Predict Student Performance from Game Play,Trace student learning from Jo Wilder online educational game,2023-06-28 23:59:00
benetech-making-graphs-accessible,Benetech - Making Graphs Accessible,Use ML to create tabular data from graphs,2023-06-19 23:59:00
godaddy-microbusiness-density-forecasting,GoDaddy - Microbusiness Density Forecasting,Forecast Next Month’s Microbusiness Density,2023-06-16 23:59:00
vesuvius-challenge-ink-detection,Vesuvius Challenge - Ink Detection,Resurrect an ancient library from the ashes of a volcano,2023-06-14 23:59:00
image-matching-challenge-2023,Image Matching Challenge 2023,Reconstruct 3D scenes from 2D images,2023-06-12 23:59:00
tlvmc-parkinsons-freezing-gait-prediction,Parkinson's Freezing of Gait Prediction,Event detection from wearable sensor data,2023-06-08 23:59:00
birdclef-2023,BirdCLEF 2023,Identify bird calls in soundscapes,2023-05-24 23:59:00
amp-parkinsons-disease-progression-prediction,AMP®-Parkinson's Disease Progression Prediction,Use protein and peptide data measurements from Parkinson's Disease patients to predict progression of the disease.,2023-05-18 23:59:00
stable-diffusion-image-to-prompts,Stable Diffusion - Image to Prompts,"Deduce the prompts that generated our ""highly detailed, sharp focus, illustration, 3d renders of majestic, epic"" images",2023-05-15 23:59:00
lux-ai-season-2,Lux AI Season 2,Terraform Mars!,2023-05-08 23:59:00
asl-signs,Google - Isolated Sign Language Recognition,Enhance PopSign's educational games for learning ASL,2023-05-01 23:59:00
icecube-neutrinos-in-deep-ice,IceCube - Neutrinos in Deep Ice,Reconstruct the direction of neutrinos from the Universe to the South Pole,2023-04-19 23:59:00
march-machine-learning-mania-2023,March Machine Learning Mania 2023,Forecast the 2023 NCAA Basketball Tournaments,2023-04-04 16:00:00
learning-equality-curriculum-recommendations,Learning Equality - Curriculum Recommendations,Enhance learning by matching K-12 content to target topics,2023-03-14 23:59:00
nfl-player-contact-detection,1st and Future - Player Contact Detection,Detect Player Contacts from Sensor and Video Data,2023-03-01 23:59:00
rsna-breast-cancer-detection,RSNA Screening Mammography Breast Cancer Detection,Find breast cancers in screening mammograms,2023-02-27 23:59:00
otto-recommender-system,OTTO – Multi-Objective Recommender System,Build a recommender system based on real-world e-commerce sessions,2023-01-31 23:59:00
santa-2022,Santa 2022 - The Christmas Card Conundrum,Optimize the configuration space for printing an image,2023-01-17 23:59:00
novozymes-enzyme-stability-prediction,Novozymes Enzyme Stability Prediction,Help identify the thermostable mutations in enzymes,2023-01-03 23:59:00
g2net-detecting-continuous-gravitational-waves,G2Net Detecting Continuous Gravitational Waves,Help us detect long-lasting gravitational-wave signals!,2023-01-03 23:59:00
dfl-bundesliga-data-shootout,DFL - Bundesliga Data Shootout,Identify plays based upon video footage,2022-12-20 23:59:00
feedback-prize-english-language-learning,Feedback Prize - English Language Learning,Evaluating language knowledge of ELL students from grades 8-12,2022-11-29 23:59:00
open-problems-multimodal,Open Problems - Multimodal Single-Cell Integration,"Predict how DNA, RNA & protein measurements co-vary in single cells",2022-11-15 23:59:00
AI4Code,Google AI4Code – Understand Code in Python Notebooks,Predict the relationship between code and comments,2022-11-10 23:59:00
rsna-2022-cervical-spine-fracture-detection,RSNA 2022 Cervical Spine Fracture Detection,Identify cervical fractures from scans,2022-10-27 23:59:00
google-universal-image-embedding,Google Universal Image Embedding,Create image representations that work across many visual domains,2022-10-10 23:59:00
jpx-tokyo-stock-exchange-prediction,JPX Tokyo Stock Exchange Prediction,Explore the Tokyo market with your data science skills,2022-10-07 23:59:00
mayo-clinic-strip-ai,Mayo Clinic - STRIP AI,Image Classification of Stroke Blood Clot Origin,2022-10-05 23:59:00
hubmap-organ-segmentation,HuBMAP + HPA - Hacking the Human Body,Segment multi-organ functional tissue units,2022-09-22 23:59:00
amex-default-prediction,American Express - Default Prediction,Predict if a customer will default in the future,2022-08-24 23:59:00
feedback-prize-effectiveness,Feedback Prize - Predicting Effective Arguments,Rate the effectiveness of argumentative writing elements from students grade 6-12,2022-08-23 23:59:00
smartphone-decimeter-2022,Google Smartphone Decimeter Challenge 2022,Improve high precision GNSS positioning and navigation accuracy on smartphones,2022-07-29 23:59:00
kore-2022,Kore 2022,Use a fleet of spaceships to mine minerals before your opponents,2022-07-26 23:59:00
ubiquant-market-prediction,Ubiquant Market Prediction,Make predictions against future market data,2022-07-19 17:04:33
uw-madison-gi-tract-image-segmentation,UW-Madison GI Tract Image Segmentation,Track healthy organs in medical scans to improve cancer treatment,2022-07-14 23:59:00
foursquare-location-matching,Foursquare - Location Matching,Match point of interest data across datasets,2022-07-07 23:59:00
us-patent-phrase-to-phrase-matching,U.S. Patent Phrase to Phrase Matching,Help Identify Similar Phrases in U.S. Patents,2022-06-20 23:59:00
image-matching-challenge-2022,Image Matching Challenge 2022,Register two images from different viewpoints,2022-06-02 23:59:00
birdclef-2022,BirdCLEF 2022,Identify bird calls in soundscapes,2022-05-24 23:59:00
h-and-m-personalized-fashion-recommendations,H&M Personalized Fashion Recommendations,Provide product recommendations based on previous purchases,2022-05-09 23:59:00
nbme-score-clinical-patient-notes,NBME - Score Clinical Patient Notes,Identify Key Phrases in Patient Notes from Medical Licensing Exams,2022-05-03 23:59:00
g-research-crypto-forecasting,G-Research Crypto Forecasting,Use your ML expertise to predict real crypto market data,2022-05-03 23:59:00
happy-whale-and-dolphin,Happywhale - Whale and Dolphin Identification,Identify whales and dolphins by unique characteristics,2022-04-18 23:59:00
mens-march-mania-2022,March Machine Learning Mania 2022 - Men’s,Predict the 2022 College Men's Basketball Tournament,2022-04-05 04:00:00
womens-march-mania-2022,March Machine Learning Mania 2022 - Women's,Predict the 2022 College Women's Basketball Tournament,2022-04-04 15:00:00
feedback-prize-2021,Feedback Prize - Evaluating Student Writing,Analyze argumentative writing elements from students grade 6-12,2022-03-15 23:59:00
tensorflow-great-barrier-reef,TensorFlow - Help Protect the Great Barrier Reef,Detect crown-of-thorns starfish in underwater image data,2022-02-14 23:59:00
jigsaw-toxic-severity-rating,Jigsaw Rate Severity of Toxic Comments,Rank relative ratings of toxicity between comments,2022-02-07 23:59:00
petfinder-pawpularity-score,PetFinder.my - Pawpularity Contest,Predict the popularity of shelter pet photos,2022-01-14 23:59:00
santa-2021,Santa 2021 - The Merry Movie Montage,Optimize television programming for the winter season,2022-01-12 23:59:00
optiver-realized-volatility-prediction,Optiver Realized Volatility Prediction,Apply your data science skills to make financial markets better,2022-01-10 18:36:00
sartorius-cell-instance-segmentation,Sartorius - Cell Instance Segmentation,Detect single neuronal cells in microscopy images,2021-12-30 23:59:00
lux-ai-2021,Lux AI,Gather the most resources and survive the night!,2021-12-20 23:59:00
chaii-hindi-and-tamil-question-answering,chaii - Hindi and Tamil Question Answering,Identify the answer to questions found in Indian language passages,2021-11-15 23:59:00
ventilator-pressure-prediction,Google Brain - Ventilator Pressure Prediction,Simulate a ventilator connected to a sedated patient's lung,2021-11-03 23:59:00
nfl-health-and-safety-helmet-assignment,NFL Health & Safety - Helmet Assignment,Segment and label helmets in video footage,2021-11-02 23:59:00
rsna-miccai-brain-tumor-radiogenomic-classification,RSNA-MICCAI Brain Tumor Radiogenomic Classification,Predict the status of a genetic biomarker important for brain cancer treatment,2021-10-15 23:59:00
landmark-retrieval-2021,Google Landmark Retrieval 2021,"Given an image, can you find all of the same landmarks in a dataset?",2021-10-01 23:59:00
landmark-recognition-2021,Google Landmark Recognition 2021,"Label famous, and not-so-famous, landmarks in images",2021-10-01 23:59:00
g2net-gravitational-wave-detection,G2Net Gravitational Wave Detection,Find gravitational wave signals from binary black hole collisions,2021-09-29 23:59:00
mlb-player-digital-engagement-forecasting,MLB Player Digital Engagement Forecasting,Predict fan engagement with baseball player digital content,2021-09-09 18:46:00
jane-street-market-prediction,Jane Street Market Prediction,Test your model against future real market data,2021-08-23 23:59:00
seti-breakthrough-listen,SETI Breakthrough Listen - E.T. Signal Search,Find extraterrestrial signals in data from deep space,2021-08-18 23:59:00
hungry-geese,Hungry Geese,Don't. Stop. Eating.,2021-08-09 23:59:00
siim-covid19-detection,SIIM-FISABIO-RSNA COVID-19 Detection,Identify and localize COVID-19 abnormalities on chest radiographs,2021-08-09 23:59:00
google-smartphone-decimeter-challenge,Google Smartphone Decimeter Challenge,Improve high precision GNSS positioning and navigation accuracy on smartphones,2021-08-04 23:59:00
commonlitreadabilityprize,CommonLit Readability Prize,Rate the complexity of literary passages for grades 3-12 classroom use,2021-08-02 23:59:00
coleridgeinitiative-show-us-the-data,Coleridge Initiative - Show US the Data,Discover how data is used for the public good,2021-06-22 23:59:00
bms-molecular-translation,Bristol-Myers Squibb – Molecular Translation,Can you translate chemical images to text?,2021-06-03 23:59:00
birdclef-2021,BirdCLEF 2021 - Birdcall Identification,Identify bird calls in soundscape recordings,2021-06-01 23:59:00
indoor-location-navigation,Indoor Location & Navigation,Identify the position of a smartphone in a shopping mall,2021-05-17 23:59:00
hpa-single-cell-image-classification,Human Protein Atlas - Single Cell Classification,Find individual human cell differences in microscope images,2021-05-11 23:59:00
shopee-product-matching,Shopee - Price Match Guarantee,Determine if two products are the same by their images,2021-05-10 23:59:00
hubmap-kidney-segmentation,HuBMAP - Hacking the Kidney,Identify glomeruli in human kidney tissue images,2021-05-10 23:59:00
ncaam-march-mania-2021,March Machine Learning Mania 2021 - NCAAM,Predict the 2021 NCAAM Basketball Tournament,2021-04-06 04:00:00
ncaaw-march-mania-2021,March Machine Learning Mania 2021 - NCAAW,Predict the 2021 NCAAW Basketball Tournament,2021-04-05 12:01:00
vinbigdata-chest-xray-abnormalities-detection,VinBigData Chest X-ray Abnormalities Detection,Automatically localize and classify thoracic abnormalities from chest radiographs,2021-03-30 23:59:00
ranzcr-clip-catheter-line-classification,RANZCR CLiP - Catheter and Line Position Challenge,Classify the presence and correct placement of tubes on chest x-rays to save lives,2021-03-16 23:59:00
santa-2020,Santa 2020 - The Candy Cane Contest,May your workdays be merry and bright,2021-02-22 23:59:00
rock-paper-scissors,"Rock, Paper, Scissors",Shoot!,2021-02-22 23:59:00
cassava-leaf-disease-classification,Cassava Leaf Disease Classification,Identify the type of disease present on a Cassava Leaf image,2021-02-18 23:59:00
rfcx-species-audio-detection,Rainforest Connection Species Audio Detection,Automate the detection of bird and frog species in a tropical soundscape,2021-02-17 23:59:00
riiid-test-answer-prediction,Riiid Answer Correctness Prediction,Track knowledge states of 1M+ students in the wild,2021-01-07 23:59:00
nfl-impact-detection,NFL 1st and Future - Impact Detection,Detect helmet impacts in videos of NFL plays,2021-01-04 23:59:00
google-football,Google Research Football with Manchester City F.C.,Train agents to master the world's most popular sport,2020-12-11 23:59:00
lish-moa,Mechanisms of Action (MoA) Prediction,Can you improve the algorithm that classifies drugs based on their biological activity?,2020-11-30 23:59:00
lyft-motion-prediction-autonomous-vehicles,Lyft Motion Prediction for Autonomous Vehicles,Build motion prediction models for self-driving vehicles,2020-11-25 23:59:00
rsna-str-pulmonary-embolism-detection,RSNA STR Pulmonary Embolism Detection,Classify Pulmonary Embolism cases in chest CT scans,2020-10-26 23:59:00
stanford-covid-vaccine,OpenVaccine: COVID-19 mRNA Vaccine Degradation Prediction,Urgent need to bring the COVID-19 vaccine to mass production,2020-10-06 23:59:00
osic-pulmonary-fibrosis-progression,OSIC Pulmonary Fibrosis Progression,Predict lung function decline,2020-10-06 23:59:00
landmark-recognition-2020,Google Landmark Recognition 2020,Label famous (and not-so-famous) landmarks in images,2020-09-29 23:59:00
halite,Halite by Two Sigma,Collect the most halite during your match in space,2020-09-22 23:59:00
birdsong-recognition,Cornell Birdcall Identification,Build tools for bird population monitoring,2020-09-15 23:59:00
global-wheat-detection,Global Wheat Detection,Can you help identify wheat heads using image analysis?,2020-08-19 01:59:00
siim-isic-melanoma-classification,SIIM-ISIC Melanoma Classification,Identify melanoma in lesion images,2020-08-17 23:59:00
landmark-retrieval-2020,Google Landmark Retrieval 2020,"Given an image, can you find all of the same landmarks in a dataset?",2020-08-17 23:59:00
prostate-cancer-grade-assessment,Prostate cANcer graDe Assessment (PANDA) Challenge,Prostate cancer diagnosis using the Gleason grading system,2020-07-22 23:59:00
alaska2-image-steganalysis,ALASKA2 Image Steganalysis,Detect secret data hidden within digital images,2020-07-20 23:59:00
m5-forecasting-uncertainty,M5 Forecasting - Uncertainty,Estimate the uncertainty distribution of Walmart unit sales.,2020-06-30 23:59:00
m5-forecasting-accuracy,M5 Forecasting - Accuracy,Estimate the unit sales of Walmart retail goods,2020-06-30 23:59:00
trends-assessment-prediction,TReNDS Neuroimaging,"Multiscanner normative age and assessments prediction with brain function, structure, and connectivity",2020-06-29 23:59:00
jigsaw-multilingual-toxic-comment-classification,Jigsaw Multilingual Toxic Comment Classification,Use TPUs to identify toxicity comments across multiple languages,2020-06-22 23:59:00
tweet-sentiment-extraction,Tweet Sentiment Extraction,Extract support phrases for sentiment labels,2020-06-16 23:59:00
abstraction-and-reasoning-challenge,Abstraction and Reasoning Challenge,Create an AI capable of solving reasoning tasks it has never seen before,2020-05-27 23:59:00
liverpool-ion-switching,University of Liverpool - Ion Switching,Identify the number of channels open at each time point,2020-05-25 23:59:00
deepfake-detection-challenge,Deepfake Detection Challenge,Identify videos with facial or voice manipulations,2020-04-23 22:17:00
google-cloud-ncaa-march-madness-2020-division-1-womens-tournament,Google Cloud & NCAA® ML Competition 2020-NCAAW,Apply Machine Learning to NCAA® March Madness®,2020-03-20 15:00:00
google-cloud-ncaa-march-madness-2020-division-1-mens-tournament,Google Cloud & NCAA® ML Competition 2020-NCAAM,Apply Machine Learning to NCAA® March Madness®,2020-03-19 15:00:00
bengaliai-cv19,Bengali.AI Handwritten Grapheme Classification,Classify the components of handwritten Bengali,2020-03-16 23:59:00
google-quest-challenge,Google QUEST Q&A Labeling,Improving automated understanding of complex question answer content,2020-02-10 23:59:00
tensorflow2-question-answering,TensorFlow 2.0 Question Answering,Identify the answers to real user questions about Wikipedia page content,2020-01-22 23:59:00
data-science-bowl-2019,2019 Data Science Bowl,Uncover the factors to help measure how young children learn,2020-01-22 23:59:00
pku-autonomous-driving,Peking University/Baidu - Autonomous Driving,Can you predict vehicle angle in different settings?,2020-01-21 23:59:00
santa-workshop-tour-2019,Santa's Workshop Tour 2019,"In the notebook we can build a model, and pretend that it will optimize...",2020-01-15 23:59:00
nfl-big-data-bowl-2020,NFL Big Data Bowl,How many yards will an NFL player gain after receiving a handoff?,2020-01-06 23:59:00
ashrae-energy-prediction,ASHRAE - Great Energy Predictor III,How much energy will a building consume?,2019-12-19 23:59:00
understanding_cloud_organization,Understanding Clouds from Satellite Images,Can you classify cloud structures from satellites?,2019-11-18 23:59:00
rsna-intracranial-hemorrhage-detection,RSNA Intracranial Hemorrhage Detection,Identify acute intracranial hemorrhage and its subtypes,2019-11-13 23:59:00
3d-object-detection-for-autonomous-vehicles,Lyft 3D Object Detection for Autonomous Vehicles,Can you advance the state of the art in 3D object detection?,2019-11-12 23:59:00
severstal-steel-defect-detection,Severstal: Steel Defect Detection,Can you detect and classify defects in steel?,2019-10-24 23:59:00
youtube8m-2019,The 3rd YouTube-8M Video Understanding Challenge,Temporal localization of topics within video,2019-10-11 23:59:00
ieee-fraud-detection,IEEE-CIS Fraud Detection,Can you detect fraud from customer transactions?,2019-10-03 23:59:00
open-images-2019-object-detection,Open Images 2019 - Object Detection,Detect objects in varied and complex images,2019-10-01 23:59:00
open-images-2019-visual-relationship,Open Images 2019 - Visual Relationship,Detect pairs of objects in particular relationships,2019-10-01 23:59:00
open-images-2019-instance-segmentation,Open Images 2019 - Instance Segmentation,Outline segmentation masks of objects in images,2019-10-01 23:59:00
recursion-cellular-image-classification,Recursion Cellular Image Classification,CellSignal: Disentangling biological signal from experimental noise in cellular images,2019-09-26 23:59:00
aptos2019-blindness-detection,APTOS 2019 Blindness Detection,Detect diabetic retinopathy to stop blindness before it's too late,2019-09-07 23:59:00
siim-acr-pneumothorax-segmentation,SIIM-ACR Pneumothorax Segmentation,Identify Pneumothorax disease in chest x-rays,2019-09-04 23:59:00
champs-scalar-coupling,Predicting Molecular Properties,Can you measure the magnetic interactions between a pair of atoms?,2019-08-28 23:59:00
generative-dog-images,Generative Dog Images,Experiment with creating puppy pics,2019-08-28 19:23:00
two-sigma-financial-news,Two Sigma: Using News to Predict Stock Movements,Use news analytics to predict stock price performance,2019-08-05 23:59:00
jigsaw-unintended-bias-in-toxicity-classification,Jigsaw Unintended Bias in Toxicity Classification,Detect toxicity across a diverse range of conversations,2019-07-18 19:35:00
instant-gratification,Instant Gratification,A synchronous Kernels-only competition,2019-06-20 23:59:00
freesound-audio-tagging-2019,Freesound Audio Tagging 2019,Automatically recognize sounds and apply tags of varying natures,2019-06-17 22:22:00
imaterialist-fashion-2019-FGVC6,iMaterialist (Fashion) 2019 at FGVC6,Fine-grained segmentation task for fashion and apparel,2019-06-10 23:59:00
imet-2019-fgvc6,iMet Collection 2019 - FGVC6,Recognize artwork attributes from The Metropolitan Museum of Art,2019-06-10 22:09:06
landmark-retrieval-2019,Google Landmark Retrieval 2019,"Given an image, can you find all of the same landmarks in a dataset?",2019-06-03 23:59:00
landmark-recognition-2019,Google Landmark Recognition 2019,Label famous (and not-so-famous) landmarks in images,2019-06-03 23:59:00
LANL-Earthquake-Prediction,LANL Earthquake Prediction,Can you predict upcoming laboratory earthquakes?,2019-06-03 23:59:00
gendered-pronoun-resolution,Gendered Pronoun Resolution,Pair pronouns to their correct entities,2019-04-22 23:59:00
santander-customer-transaction-prediction,Santander Customer Transaction Prediction,Can you identify who will make a transaction?,2019-04-10 23:59:00
petfinder-adoption-prediction,PetFinder.my Adoption Prediction,How cute is that doggy in the shelter?,2019-04-10 01:09:00
mens-machine-learning-competition-2019,Google Cloud & NCAA® ML Competition 2019-Men's,Apply Machine Learning to NCAA® March Madness®,2019-04-09 06:00:00
womens-machine-learning-competition-2019,Google Cloud & NCAA® ML Competition 2019-Women's,Apply Machine Learning to NCAA® March Madness®,2019-04-08 05:10:00
vsb-power-line-fault-detection,VSB Power Line Fault Detection,Can you detect faults in above-ground electrical lines?,2019-03-21 23:59:00
microsoft-malware-prediction,Microsoft Malware Prediction,Can you predict if a machine will soon be hit with malware?,2019-03-13 23:59:00
humpback-whale-identification,Humpback Whale Identification,Can you identify a whale by its tail?,2019-02-28 23:59:00
elo-merchant-category-recommendation,Elo Merchant Category Recommendation,Help understand customer loyalty,2019-02-26 23:59:00
ga-customer-revenue-prediction,Google Analytics Customer Revenue Prediction,Predict how much GStore customers will spend,2019-02-21 20:04:00
quora-insincere-questions-classification,Quora Insincere Questions Classification,Detect toxic content to improve online conversations,2019-02-13 23:09:00
human-protein-atlas-image-classification,Human Protein Atlas Image Classification,Classify subcellular protein patterns in human cells,2019-01-10 23:59:00
traveling-santa-2018-prime-paths,Traveling Santa 2018 - Prime Paths,"But does your code recall, the most efficient route of all?",2019-01-10 23:59:00
PLAsTiCC-2018,PLAsTiCC Astronomical Classification,Can you help make sense of the Universe?,2018-12-17 23:59:00
quickdraw-doodle-recognition,"Quick, Draw! Doodle Recognition Challenge",How accurately can you identify a doodle?,2018-12-04 23:59:00
airbus-ship-detection,Airbus Ship Detection Challenge,Find ships on satellite images as quickly as possible,2018-11-14 23:59:00
inclusive-images-challenge,Inclusive Images Challenge,Stress test image classifiers across new geographic distributions,2018-11-12 23:59:00
rsna-pneumonia-detection-challenge,RSNA Pneumonia Detection Challenge,Can you build an algorithm that automatically detects potential pneumonia cases?,2018-10-31 23:59:00
tgs-salt-identification-challenge,TGS Salt Identification Challenge,Segment salt deposits beneath the Earth's surface,2018-10-19 23:59:00
google-ai-open-images-visual-relationship-track,Google AI Open Images - Visual Relationship Track,Detect pairs of objects in particular relationships.,2018-08-30 23:59:00
google-ai-open-images-object-detection-track,Google AI Open Images - Object Detection Track,Detect objects in varied and complex images.,2018-08-30 23:59:00
home-credit-default-risk,Home Credit Default Risk,Can you predict how capable each applicant is of repaying a loan?,2018-08-29 23:59:00
santander-value-prediction-challenge,Santander Value Prediction Challenge,Predict the value of transactions for potential customers.,2018-08-20 23:59:00
trackml-particle-identification,TrackML Particle Tracking Challenge,High Energy Physics particle tracking in CERN detectors,2018-08-13 23:59:00
youtube8m-2018,The 2nd YouTube-8M Video Understanding Challenge,Can you create a constrained-size model to predict video labels?,2018-08-06 23:59:00
avito-demand-prediction,Avito Demand Prediction Challenge,Predict demand for an online classified ad,2018-06-27 23:59:00
landmark-recognition-challenge,Google Landmark Recognition Challenge,Label famous (and not-so-famous) landmarks in images,2018-05-29 23:59:00
landmark-retrieval-challenge,Google Landmark Retrieval Challenge,"Given an image, can you find all of the same landmarks in a dataset?",2018-05-29 23:59:00
talkingdata-adtracking-fraud-detection,TalkingData AdTracking Fraud Detection Challenge,Can you detect fraudulent click traffic for mobile app ads?,2018-05-07 23:59:00
data-science-bowl-2018,2018 Data Science Bowl,Find the nuclei in divergent images to advance medical discovery,2018-04-16 23:59:00
jigsaw-toxic-comment-classification-challenge,Toxic Comment Classification Challenge,Identify and classify toxic online comments,2018-03-20 23:59:00
mercari-price-suggestion-challenge,Mercari Price Suggestion Challenge,Can you automatically suggest product prices to online sellers?,2018-02-21 20:03:00
sp-society-camera-model-identification,IEEE's Signal Processing Society - Camera Model Identification,Identify from which camera an image was taken,2018-02-08 23:59:00
recruit-restaurant-visitor-forecasting,Recruit Restaurant Visitor Forecasting,Predict how many future visitors a restaurant will receive,2018-02-06 23:59:00
statoil-iceberg-classifier-challenge,Statoil/C-CORE Iceberg Classifier Challenge,"Ship or iceberg, can you decide from space?",2018-01-23 23:59:00
