Slug,Title,Subtitle,DeadlineDate
tensorflow-speech-recognition-challenge,TensorFlow Speech Recognition Challenge,Can you build an algorithm that understands simple speech commands?,2018-01-16 23:59:00
favorita-grocery-sales-forecasting,Corporación Favorita Grocery Sales Forecasting,Can you accurately predict sales for a large grocery chain?,2018-01-15 23:59:00
santa-gift-matching,Santa Gift Matching Challenge,Down through the chimney with lots of toys...,2018-01-12 23:59:00
zillow-prize-1,Zillow Prize: Zillow’s Home Value Prediction (Zestimate),Can you improve the algorithm that changed the world of real estate?,2018-01-10 15:59:00
passenger-screening-algorithm-challenge,Passenger Screening Algorithm Challenge,Improve the accuracy of the Department of Homeland Security's threat recognition algorithms,2017-12-15 23:59:00
cdiscount-image-classification-challenge,Cdiscount’s Image Classification Challenge,Categorize e-commerce photos,2017-12-14 23:59:00
porto-seguro-safe-driver-prediction,Porto Seguro’s Safe Driver Prediction,Predict if a driver will file an insurance claim next year.,2017-11-29 23:59:00
text-normalization-challenge-english-language,Text Normalization Challenge - English Language,Convert English text from written expressions into spoken forms,2017-11-20 23:59:00
text-normalization-challenge-russian-language,Text Normalization Challenge - Russian Language,Convert Russian text from written expressions into spoken forms,2017-11-20 23:59:00
web-traffic-time-series-forecasting,Web Traffic Time Series Forecasting,Forecast future traffic to Wikipedia pages,2017-11-15 23:59:00
nips-2017-non-targeted-adversarial-attack,NIPS 2017: Non-targeted Adversarial Attack,Imperceptibly transform images in ways that fool classification models,2017-10-01 23:59:00
nips-2017-targeted-adversarial-attack,NIPS 2017: Targeted Adversarial Attack,Develop an adversarial attack that causes image classifiers to predict a specific target class,2017-10-01 23:59:00
nips-2017-defense-against-adversarial-attack,NIPS 2017: Defense Against Adversarial Attack,Create an image classifier that is robust to adversarial attacks,2017-10-01 23:59:00
carvana-image-masking-challenge,Carvana Image Masking Challenge,Automatically identify the boundaries of the car in an image,2017-09-27 23:59:00
instacart-market-basket-analysis,Instacart Market Basket Analysis,Which products will an Instacart consumer purchase again?,2017-08-14 23:59:00
planet-understanding-the-amazon-from-space,Planet: Understanding the Amazon from Space,Use satellite data to track the human footprint in the Amazon rainforest,2017-07-20 23:59:00
mercedes-benz-greener-manufacturing,Mercedes-Benz Greener Manufacturing,Can you cut the time a Mercedes-Benz spends on the test bench?,2017-07-10 23:59:00
sberbank-russian-housing-market,Sberbank Russian Housing Market,Can you predict realty price fluctuations in Russia’s volatile economy?,2017-06-29 23:59:00
noaa-fisheries-steller-sea-lion-population-count,NOAA Fisheries Steller Sea Lion Population Count,How many sea lions do you see?,2017-06-27 23:59:00
intel-mobileodt-cervical-cancer-screening,Intel & MobileODT Cervical Cancer Screening,Which cancer treatment will be most effective?,2017-06-21 23:59:00
quora-question-pairs,Quora Question Pairs,Can you identify question pairs that have the same intent?,2017-06-06 23:59:00
youtube8m,Google Cloud & YouTube-8M Video Understanding Challenge,Can you produce the best video tag predictions?,2017-06-02 23:59:00
two-sigma-connect-rental-listing-inquiries,Two Sigma Connect: Rental Listing Inquiries,How much interest will a new rental listing on RentHop receive?,2017-04-25 23:59:00
data-science-bowl-2017,Data Science Bowl 2017,Can you improve lung cancer detection?,2017-04-12 23:59:00
the-nature-conservancy-fisheries-monitoring,The Nature Conservancy Fisheries Monitoring,Can you detect and classify species of fish?,2017-04-12 23:59:00
dstl-satellite-imagery-feature-detection,Dstl Satellite Imagery Feature Detection,Can you train an eye in the sky?,2017-03-07 23:59:00
two-sigma-financial-modeling,Two Sigma Financial Modeling Challenge,Can you uncover predictive value in an uncertain world?,2017-03-01 23:59:00
santas-uncertain-bags,Santa's Uncertain Bags,"♫ Bells are ringing, children singing, all is merry and bright. Santa's elves made a big mistake, now he needs your help tonight ♫",2017-01-30 23:59:00
outbrain-click-prediction,Outbrain Click Prediction,Can you predict which recommended content each user will click?,2017-01-18 23:59:00
santander-product-recommendation,Santander Product Recommendation,Can you pair products with people?,2016-12-21 23:59:00
allstate-claims-severity,Allstate Claims Severity,How severe is an insurance claim?,2016-12-12 23:59:00
melbourne-university-seizure-prediction,Melbourne University AES/MathWorks/NIH Seizure Prediction,Predict seizures in long-term human intracranial EEG recordings,2016-12-01 23:59:00
bosch-production-line-performance,Bosch Production Line Performance,Reduce manufacturing failures,2016-11-11 23:59:00
predicting-red-hat-business-value,Predicting Red Hat Business Value,Classify customer potential,2016-09-19 23:59:00
talkingdata-mobile-user-demographics,TalkingData Mobile User Demographics,Get to know millions of mobile device users,2016-09-05 23:59:00
grupo-bimbo-inventory-demand,Grupo Bimbo Inventory Demand,Maximize sales and minimize returns of bakery goods,2016-08-30 23:59:00
ultrasound-nerve-segmentation,Ultrasound Nerve Segmentation,Identify nerve structures in ultrasound images of the neck,2016-08-18 23:59:00
state-farm-distracted-driver-detection,State Farm Distracted Driver Detection,Can computer vision spot distracted drivers?,2016-08-01 23:59:00
avito-duplicate-ads-detection,Avito Duplicate Ads Detection,Can you detect duplicitous duplicate ads?,2016-07-11 23:59:00
facebook-v-predicting-check-ins,Facebook V: Predicting Check Ins,Identify the correct place for check ins,2016-07-06 23:59:00
draper-satellite-image-chronology,Draper Satellite Image Chronology,Can you put order to space and time?,2016-06-27 23:59:00
expedia-hotel-recommendations,Expedia Hotel Recommendations,Which hotel type will an Expedia customer book?,2016-06-10 23:59:00
santander-customer-satisfaction,Santander Customer Satisfaction,Which customers are happy customers?,2016-05-02 23:59:00
home-depot-product-search-relevance,Home Depot Product Search Relevance,Predict the relevance of search results on homedepot.com,2016-04-25 23:59:00
bnp-paribas-cardif-claims-management,BNP Paribas Cardif Claims Management,Can you accelerate BNP Paribas Cardif's claims management process?,2016-04-18 23:59:00
yelp-restaurant-photo-classification,Yelp Restaurant Photo Classification,Predict attribute labels for restaurants using user-submitted photos,2016-04-12 23:59:00
second-annual-data-science-bowl,Second Annual Data Science Bowl,Transforming How We Diagnose Heart Disease,2016-03-14 23:59:00
telstra-recruiting-network,Telstra Network Disruptions,Predict service faults on Australia's largest telecommunications network,2016-02-29 23:59:00
prudential-life-insurance-assessment,Prudential Life Insurance Assessment,Can you make buying life insurance easier?,2016-02-15 23:59:00
the-allen-ai-science-challenge,The Allen AI Science Challenge,Is your model smarter than an 8th grader?,2016-02-13 23:59:00
airbnb-recruiting-new-user-bookings,Airbnb New User Bookings,Where will a new guest book their first travel experience?,2016-02-11 23:59:00
homesite-quote-conversion,Homesite Quote Conversion,Which customers will purchase a quoted insurance plan?,2016-02-08 23:59:00
the-winton-stock-market-challenge,The Winton Stock Market Challenge,Join a multi-disciplinary team of research scientists,2016-01-26 23:59:00
santas-stolen-sleigh,Santa's Stolen Sleigh,"♫ Alarm bells ring, are you listening? Santa's sleigh has gone missing ♫",2016-01-08 23:59:00
noaa-right-whale-recognition,Right Whale Recognition,Identify endangered right whales in aerial photographs,2016-01-07 23:59:00
walmart-recruiting-trip-type-classification,Walmart Recruiting: Trip Type Classification,Use market basket analysis to classify shopping trips,2015-12-27 23:59:00
rossmann-store-sales,Rossmann Store Sales,"Forecast sales using store, promotion, and competitor data",2015-12-14 23:59:00
how-much-did-it-rain-ii,How Much Did It Rain? II,Predict hourly rainfall using data from polarimetric radars,2015-12-07 23:59:00
springleaf-marketing-response,Springleaf Marketing Response,Determine whether to send a direct mail piece to a customer,2015-10-19 23:59:00
dato-native,Truly Native?,Predict which web pages served by StumbleUpon are sponsored,2015-10-14 23:59:00
flavours-of-physics,Flavours of Physics: Finding τ  →  μμμ,Identify a rare decay phenomenon,2015-10-12 23:59:00
coupon-purchase-prediction,Coupon Purchase Prediction,Predict which coupons a customer will buy,2015-09-30 23:59:00
machinery-tube-pricing,Machinery Tube Pricing,Model quoted prices for industrial tube assemblies,2015-08-31 23:59:00
grasp-and-lift-eeg-detection,Grasp-and-Lift EEG Detection,Identify hand motions from EEG recordings,2015-08-31 23:59:00
liberty-mutual-group-property-inspection-prediction,Liberty Mutual Group: Property Inspection Prediction,Quantify property hazards before time of inspection,2015-08-28 23:59:00
icdm-2015-drawbridge-cross-device-connections,ICDM 2015: Drawbridge Cross-Device Connections,Identify individual users across their digital devices,2015-08-24 23:59:00
avito-context-ad-clicks,Avito Context Ad Clicks,Predict if context ads will earn a user's click,2015-07-28 23:59:00
diabetic-retinopathy-detection,Diabetic Retinopathy Detection,Identify signs of diabetic retinopathy in eye images,2015-07-27 23:59:00
crowdflower-search-relevance,Crowdflower Search Results Relevance,Predict the relevance of search results from eCommerce sites,2015-07-06 23:59:00
pkdd-15-predict-taxi-service-trajectory-i,ECML/PKDD 15: Taxi Trajectory Prediction (I),Predict the destination of taxi trips based on initial partial trajectories,2015-07-01 23:59:00
pkdd-15-taxi-trip-time-prediction-ii,ECML/PKDD 15: Taxi Trip Time Prediction (II),Predict the total travel time of taxi trips based on their initial partial trajectories,2015-07-01 23:59:00
predict-west-nile-virus,West Nile Virus Prediction,Predict West Nile virus in mosquitos across the city of Chicago,2015-06-17 23:59:00
facebook-recruiting-iv-human-or-bot,Facebook Recruiting IV: Human or Robot?,Predict if an online bid is made by a machine or a human,2015-06-08 23:59:00
walmart-recruiting-sales-in-stormy-weather,Walmart Recruiting II: Sales in Stormy Weather,Predict how sales of weather-sensitive products are affected by snow and rain,2015-05-25 23:59:00
otto-group-product-classification-challenge,Otto Group Product Classification Challenge,Classify products into the correct category,2015-05-18 23:59:00
how-much-did-it-rain,How Much Did It Rain?,Predict probabilistic distribution of hourly rain given polarimetric radar measurements,2015-05-15 23:59:00
restaurant-revenue-prediction,Restaurant Revenue Prediction,Predict annual restaurant sales based on objective measurements,2015-05-04 23:59:00
malware-classification,Microsoft Malware Classification Challenge (BIG 2015),Classify malware into families based on file content and characteristics,2015-04-17 23:59:00
axa-driver-telematics-analysis,Driver Telematics Analysis,Use telematic data to identify a driver signature,2015-03-16 23:59:00
datasciencebowl,National Data Science Bowl,"Predict ocean health, one plankton at a time",2015-03-16 23:59:00
inria-bci-challenge,BCI Challenge @ NER 2015,A spell on you if you cannot detect errors!,2015-02-24 23:59:00
avazu-ctr-prediction,Click-Through Rate Prediction,Predict whether a mobile ad will be clicked,2015-02-09 23:59:00
helping-santas-helpers,Helping Santa's Helpers,"Jingle bells, Santa tells ...",2015-01-07 23:59:00
seizure-prediction,American Epilepsy Society Seizure Prediction Challenge,Predict seizures in intracranial EEG recordings,2014-11-17 23:59:00
tradeshift-text-classification,Tradeshift Text Classification,Classify text blocks in documents,2014-11-10 23:59:00
learning-social-circles,Learning Social Circles in Networks,Model friend memberships to multiple circles,2014-10-28 23:59:00
afsis-soil-properties,Africa Soil Property Prediction Challenge,Predict physical and chemical properties of soil using spectral measurements,2014-10-21 23:59:00
criteo-display-ad-challenge,Display Advertising Challenge,Predict click-through rates on display ads,2014-09-23 23:59:00
higgs-boson,Higgs Boson Machine Learning Challenge,Use the ATLAS experiment to identify the Higgs boson,2014-09-15 23:59:00
liberty-mutual-fire-peril,Liberty Mutual Group - Fire Peril Loss Cost,Predict expected fire losses for insurance policies,2014-09-02 23:59:00
avito-prohibited-content,The Hunt for Prohibited Content,Predict which ads contain illicit content,2014-08-31 23:59:00
seizure-detection,UPenn and Mayo Clinic's Seizure Detection Challenge,Detect seizures in intracranial EEG recordings,2014-08-19 23:59:00
decoding-the-human-brain,DecMeg2014 - Decoding the Human Brain,Predict visual stimuli from MEG recordings of human brain activity,2014-07-27 23:59:00
mlsp-2014-mri,MLSP 2014 Schizophrenia Classification Challenge,Diagnose schizophrenia using multimodal features from MRI scans,2014-07-20 23:59:00
kdd-cup-2014-predicting-excitement-at-donors-choose,KDD Cup 2014 - Predicting Excitement at DonorsChoose.org,Predict funding requests that deserve an A+,2014-07-15 23:59:00
wise-2014,Greek Media Monitoring Multilabel Classification (WISE 2014),Multi-label classification of printed media articles to topics,2014-07-15 23:59:00
acquire-valued-shoppers-challenge,Acquire Valued Shoppers Challenge,Predict which shoppers will become repeat buyers,2014-07-14 23:59:00
allstate-purchase-prediction-challenge,Allstate Purchase Prediction Challenge,Predict a purchased policy based on transaction history,2014-05-19 23:59:00
connectomics,CONNECTOMICS,Reconstruct the wiring between neurons from fluorescence imaging of neural activity,2014-05-05 23:59:00
walmart-recruiting-store-sales-forecasting,Walmart Recruiting - Store Sales Forecasting,Use historical markdown data to predict store sales,2014-05-05 23:59:00
lshtc,Large Scale Hierarchical Text Classification,"Classify Wikipedia documents into one of 325,056 categories",2014-04-22 23:59:00
galaxy-zoo-the-galaxy-challenge,Galaxy Zoo - The Galaxy Challenge,Classify the morphologies of distant galaxies in our Universe,2014-04-04 23:59:00
pakdd-cup-2014,PAKDD 2014 - ASUS Malfunctional Components Prediction,Predict malfunctional components of ASUS notebooks,2014-04-01 04:00:00
loan-default-prediction,Loan Default Prediction - Imperial College London,Constructing an optimal portfolio of loans,2014-03-14 23:59:00
conway-s-reverse-game-of-life,Conway's Reverse Game of Life,Reverse the arrow of time in the Game of Life,2014-03-02 23:59:00
flight2-final,"Flight Quest 2: Flight Optimization, Final Phase",Final Phase of Flight Quest 2,2014-02-23 23:59:00
dogs-vs-cats,Dogs vs. Cats,Create an algorithm to distinguish dogs from cats,2014-02-01 23:59:00
packing-santas-sleigh,Packing Santa's Sleigh,"He's making a list, checking it twice; to fill up his sleigh, he needs your advice",2014-01-26 23:59:00
flight2-main,"Flight Quest 2: Flight Optimization, Main Phase",Optimize flight routes based on current weather and traffic.,2014-01-18 23:59:00
yandex-personalized-web-search-challenge,Personalized Web Search Challenge,Re-rank web documents using personal preferences,2014-01-10 23:59:00
facebook-recruiting-iii-keyword-extraction,Facebook Recruiting III - Keyword Extraction,Identify keywords and tags from millions of text questions,2013-12-20 23:59:00
crowdflower-weather-twitter,Partly Sunny with a Chance of Hashtags,What can a #machine learn from tweets about the #weather?,2013-12-01 23:59:00
see-click-predict-fix,See Click Predict Fix,Predict which 311 issues are most important to citizens,2013-11-27 23:59:00
multilabel-bird-species-classification-nips2013,Multi-label Bird Species Classification - NIPS 2013,Identify which of 87 classes of birds and amphibians are present into 1000 continuous wild sound recordings,2013-11-24 23:59:00
accelerometer-biometric-competition,Accelerometer Biometric Competition,Recognize users of mobile devices from accelerometer data,2013-11-22 23:59:00
ams-2014-solar-energy-prediction-contest,AMS 2013-2014 Solar Energy Prediction Contest,Forecast daily solar energy with an ensemble of weather models,2013-11-15 23:59:00
expedia-personalized-sort,Personalize Expedia Hotel Searches - ICDM 2013,Learning to rank hotels to maximize purchases,2013-11-04 23:59:00
stumbleupon,StumbleUpon Evergreen Classification Challenge,Build a classifier to categorize webpages as evergreen or non-evergreen,2013-10-31 23:59:59
belkin-energy-disaggregation-competition,Belkin Energy Disaggregation Competition,Disaggregate household energy consumption into individual appliances,2013-10-30 23:59:00
battlefin-s-big-data-combine-forecasting-challenge,The Big Data Combine Engineered by BattleFin,Predict short term movements in stock prices using news and sentiment data provided by RavenPack,2013-10-01 23:59:00
cause-effect-pairs,Cause-effect pairs,"Given samples from a pair of variables A, B, find whether A is a cause of B.",2013-09-02 23:59:00
yelp-recsys-2013,RecSys2013: Yelp Business Rating Prediction,RecSys Challenge 2013: Yelp business rating prediction,2013-08-31 23:59:59
mlsp-2013-birds,MLSP 2013 Bird Classification Challenge,"Predict the set of bird species present in an audio recording, collected in field conditions.",2013-08-19 23:59:59
amazon-employee-access-challenge,Amazon.com - Employee Access Challenge,"Predict an employee's access needs, given his/her job role",2013-07-31 23:59:00
yelp-recruiting,Yelp Recruiting Competition,"How many ""useful"" votes will a Yelp review receive? Show off your skills to land an interview for a position on a Yelp data mining team!",2013-06-30 23:59:00
kdd-cup-2013-author-paper-identification-challenge,KDD Cup 2013 - Author-Paper Identification Challenge (Track 1),Determine whether an author has written a given paper,2013-06-26 23:59:00
the-icml-2013-bird-challenge,The ICML 2013 Bird Challenge,Identify bird species from continuous audio recordings,2013-06-17 23:59:59
the-icml-2013-whale-challenge-right-whale-redux,The ICML 2013 Whale Challenge - Right Whale Redux,Develop recognition solutions to detect and classify right whales for BIG data mining and exploration studies,2013-06-17 23:59:59
kdd-cup-2013-author-disambiguation,KDD Cup 2013 - Author Disambiguation Challenge (Track 2),Identify which authors correspond to the same person,2013-06-12 23:59:00
challenges-in-representation-learning-the-black-box-learning-challenge,Challenges in Representation Learning: The Black Box Learning Challenge,"Competitors train a classifier on a dataset that is not human readable, without knowledge of what the data consists of.",2013-05-24 23:59:00
challenges-in-representation-learning-facial-expression-recognition-challenge,Challenges in Representation Learning: Facial Expression Recognition Challenge,Learn facial expressions from an image,2013-05-24 23:59:00
challenges-in-representation-learning-multi-modal-learning,Challenges in Representation Learning: Multi-modal Learning,The multi-modal learning challenge,2013-05-24 23:59:00
bluebook-for-bulldozers,Blue Book for Bulldozers,"Predict the auction sale price for a piece of heavy equipment to create a ""blue book"" for bulldozers.",2013-04-17 23:59:00
icdar2013-gender-prediction-from-handwriting,ICDAR2013 - Gender Prediction from Handwriting,Predict if a handwritten document has been produced by a male or a female writer,2013-04-15 00:00:00
whale-detection-challenge,The Marinexplore and Cornell University Whale Detection Challenge,"Create an algorithm to detect North Atlantic right whale calls from audio recordings, prevent collisions with shipping traffic",2013-04-08 00:00:00
hhp,Heritage Health Prize,Identify patients who will be admitted to a hospital within the next year using historical claims data. (Enter by 06:59:59 UTC Oct 4 2012),2013-04-04 07:00:00
job-salary-prediction,Job Salary Prediction,Predict the salary of any UK job ad based on its contents,2013-04-03 23:59:00
flight,GE Flight Quest,Think you can change the future of flight?,2013-03-11 23:59:00
event-recommendation-engine-challenge,Event Recommendation Engine Challenge,"Predict what events our users will be interested in based on user actions, event metadata, and demographic information.",2013-02-20 23:59:00
traveling-santa-problem,Traveling Santa Problem,Solve ye olde traveling salesman problem to help Santa Claus deliver his presents,2013-01-19 00:00:00
DarkWorlds,Observing Dark Worlds,Can you find the Dark Matter that dominates our Universe? Winton Capital offers you the chance to unlock the secrets of dark worlds.,2012-12-16 23:59:00
facebook-ii,Facebook II - Mapping the Internet,Round II of the Facebook Recruiting Competition.,2012-11-21 23:59:00
us-census-challenge,U.S. Census Return Rate Challenge,Predict census mail return rates.,2012-11-11 00:00:00
predict-closed-questions-on-stack-overflow,Predict Closed Questions on Stack Overflow,Predict which new questions asked on Stack Overflow will be closed,2012-11-03 23:59:00
GEF2012-wind-forecasting,Global Energy Forecasting Competition 2012 - Wind Forecasting,A wind power forecasting problem: predicting hourly power generation up to 48 hours ahead at 7 wind farms,2012-10-31 00:00:00
global-energy-forecasting-competition-2012-load-forecasting,Global Energy Forecasting Competition 2012 - Load Forecasting,A hierarchical load forecasting problem: backcasting and forecasting hourly loads (in kW) for a US utility with 20 zones.,2012-10-31 00:00:00
MerckActivity,Merck Molecular Activity Challenge,Help develop safe and effective medicines by predicting molecular activity.,2012-10-16 23:59:00
job-recommendation,Job Recommendation Challenge,Predict which jobs users will apply to,2012-10-07 00:00:00
acm-sf-chapter-hackathon-big,Data Mining Hackathon on BIG DATA (7GB) Best Buy mobile web site,Predict which BestBuy product a mobile web visitor will be most interested in based on their search query or behavior over 2 years (7 GB).,2012-09-30 01:00:00
acm-sf-chapter-hackathon-small,Data Mining Hackathon on (20 mb) Best Buy mobile web site - ACM SF Bay Area Chapter,Getting Started - Predict which Xbox game a visitor will be most interested in based on their search query.  (20 MB),2012-09-30 01:00:00
cprod1,CPROD1: Consumer PRODucts contest #1,Identify product mentions within a largely user-generated web-based corpus and disambiguate the mentions against a large product catalog.,2012-09-24 23:59:00
detecting-insults-in-social-commentary,Detecting Insults in Social Commentary,Predict whether a comment posted during a public discussion is considered insulting to one of the participants.,2012-09-21 23:59:00
Raising-Money-to-Fund-an-Organizational-Mission,Raising Money to Fund an Organizational Mission,Help worthy organizations more efficiently target and recruit loyal donors to support their causes.,2012-09-18 23:59:00
GestureChallenge2,CHALEARN Gesture Challenge 2,Develop a Gesture Recognizer for Microsoft Kinect (TM),2012-09-11 23:59:00
pf2012-diabetes,Practice Fusion Diabetes Classification,Identify patients diagnosed with Type 2 Diabetes,2012-09-10 23:59:59
predict-wordpress-likes,GigaOM WordPress Challenge: Splunk Innovation Prospect,Predict which blog posts someone will like.,2012-09-07 23:59:00
asap-sas,The Hewlett Foundation: Short Answer Scoring,Develop a scoring algorithm for student-written short-answer responses.,2012-09-05 23:59:00
emc-data-science,EMC Israel Data Science Challenge,Match source code files to the open source code project,2012-09-01 23:59:00
msdchallenge,Million Song Dataset Challenge,Predict which songs a user will listen to.,2012-08-09 23:59:59
FacebookRecruiting,Facebook Recruiting Competition,"Show them your talent, not just your resume.",2012-07-10 23:59:59
online-sales,Online Product Sales,Predict the online sales of a consumer product based on a data set of product features.,2012-07-03 23:59:00
twitter-psychopathy-prediction,Psychopathy Prediction Based on Twitter Usage,Identify people who have a high degree of Psychopathy based on Twitter usage.,2012-06-29 23:59:59
twitter-personality-prediction,Personality Prediction Based on Twitter Stream,Identify the best performing model(s) to predict personality traits based on Twitter usage,2012-06-29 23:59:59
bioresponse,Predicting a Biological Response,Predict a biological response of molecules from their chemical properties,2012-06-15 23:59:59
kddcup2012-track2,"KDD Cup 2012, Track 2",Predict the click-through rate of ads given the query and user information.,2012-06-01 23:59:59
kddcup2012-track1,"KDD Cup 2012, Track 1",Predict which users (or information sources) one user might follow in Tencent Weibo.,2012-06-01 23:59:59
asap-aes,The Hewlett Foundation: Automated Essay Scoring,Develop an automated scoring algorithm for student-written essays.,2012-04-30 23:59:59
benchmark-bond-trade-price-challenge,Benchmark Bond Trade Price Challenge,Develop models to accurately predict the trade price of a bond.,2012-04-30 23:59:59
awic2012,ICFHR 2012 - Arabic Writer Identification,Identify which writer wrote which documents.,2012-04-15 23:59:59
emvic,Eye Movements Verification and Identification Competition,Determine how people may be identified based on their eye movement characteristic.,2012-04-15 23:59:00
GestureChallenge,CHALEARN Gesture Challenge,Develop a Gesture Recognizer for Microsoft Kinect (TM),2012-04-10 23:59:59
WhatDoYouKnow,What Do You Know?,Improve the state of the art in student evaluation by predicting whether a student will answer the next test question correctly.,2012-02-29 23:59:59
AlgorithmicTradingChallenge,Algorithmic Trading Challenge,Develop new models to accurately predict the market response to large trades.,2012-01-08 23:59:59
DontGetKicked,Don't Get Kicked!,Predict if a car purchased at auction is a lemon,2012-01-05 23:59:59
GiveMeSomeCredit,Give Me Some Credit,Improve on the state of the art in credit scoring by predicting the probability that somebody will experience financial distress in the next two years.,2011-12-15 23:59:59
PhotoQualityPrediction,Photo Quality Prediction,"Given anonymized information on thousands of photo albums, predict whether a human evaluator would mark them as 'good'.",2011-11-20 23:59:59
SemiSupervisedFeatureLearning,Semi-Supervised Feature Learning,"Find methods which work best on large-scale, high-dimensional learning tasks",2011-10-17 23:59:59
ClaimPredictionChallenge,Allstate Claim Prediction Challenge,A key part of insurance is charging each customer the appropriate price for the risk they represent.,2011-10-12 23:59:59
dunnhumbychallenge,dunnhumby's Shopper Challenge,"Going grocery shopping, we all have to do it, some even enjoy it, but can you predict it? dunnhumby is looking to build a model to better predict when supermarket shoppers will next visit the store and how much they will spend.",2011-09-30 23:59:59
wikichallenge,Wikipedia's Participation Challenge,This competition challenges data-mining experts to build a predictive model that predicts the number of edits an editor will make five months from the end date of the training dataset.,2011-09-20 23:59:59
mdm,Mapping Dark Matter,Measure the small distortion in galaxy images caused by dark matter,2011-08-18 00:00:00
overfitting,Don't Overfit!,"With nearly as many variables as training cases, what are the best techniques to avoid disaster?",2011-05-15 00:00:00
ChessRatings2,Deloitte/FIDE Chess Rating Challenge,"This contest, sponsored by professional services firm Deloitte, will find the most accurate system to predict chess outcomes, and FIDE will also bring a top finisher to Athens to present their system",2011-05-04 15:00:00
WIC2011,ICDAR 2011 - Arabic Writer Identification,This competition require participants to develop an algorithm to identify who wrote which documents. The winner will be honored at a special session of the ICDAR 2011 conference.,2011-04-10 12:00:00
stayalert,Stay Alert! The Ford Challenge,"Driving while not alert can be deadly. The objective is to design a classifier that will detect whether the driver is alert or not alert, employing data that are acquired while driving.",2011-03-09 13:00:00
unimelb,Predict Grant Applications,This task requires participants to predict the outcome of grant applications for the University of Melbourne.,2011-02-20 22:00:00
RTA,RTA Freeway Travel Time Prediction,This competition requires participants to predict travel time on Sydney's M4 freeway from past travel time observations.,2011-02-13 22:00:00
R,R Package Recommendation Engine,The aim of this competition is to develop a recommendation engine for R libraries (or packages). (R is opensource statistics software.),2011-02-08 09:00:00
socialNetwork,IJCNN Social Network Challenge,This competition requires participants to predict edges in an online social network. The winner will receive free registration and the opportunity to present their solution at IJCNN 2011.,2011-01-11 22:00:00
tourism2,Tourism Forecasting Part Two,Part two requires competitors to predict 793 tourism-related time series. The winner of this competition will be invited to contribute a discussion paper to the International Journal of Forecasting.,2010-11-21 23:00:00
chess,Chess ratings - Elo versus the Rest of the World,This competition aims to discover whether other approaches can predict the outcome of chess games more accurately than the workhorse Elo rating system.,2010-11-17 20:00:00
informs2010,INFORMS Data Mining Contest 2010,The goal of this contest is to predict short term movements in stock prices. The winners of this contest will be honoured of the INFORMS Annual Meeting in Austin-Texas (November 7-10).,2010-10-10 02:28:00
tourism1,Tourism Forecasting Part One,Part one requires competitors to predict 518 tourism-related time series. The winner of this competition will be invited to contribute a discussion paper to the International Journal of Forecasting.,2010-09-19 23:00:00
hivprogression,Predict HIV Progression,"This contest requires competitors to predict the likelihood that an HIV patient's infection will become less severe, given a small dataset and limited clinical information.",2010-08-02 12:32:00
